job_title,required_skills
imaging specialist,"ajax, angularjs, apache, database, dhtml, html, j2ee, java, javascript, jsp, linux, management, soap, solaris, sql, sql server, sybase, tibco, uml, unix, windows, xml"
software development manager,"access, basic, development, engineers, it, javascript, management, micro, next, php, python, quality, security, software, systems, telecom, ux, web"
graphic design intern,"pcie, rtl design, spyglass"
vp software,"tad pgs, reliable "
enterprise architect,"supply chain management, enterprise it architect, integration"
data scientist,"css, database, hadoop, html, http, nosql"
software product manager,"full time, full time"
portal administrator,"configuration management, css, html, http, linux, management, scripts, windows"
big data engineer,"restful, automation, java, selenium"
crm consultant,"cisco, citrix, vm, windows"
it project manager,"agile, analytical"
client server programmer,"access, applications, architecture, development, it, java, javascript, linux, protocols, software, system, telecom, unix, web"
software test technician,"tad pgs, reliable "
it project manager,"csp, certification, .net"
business intelligence developer,"access, application, applications, automated, consult, customer service, db2, development, it, iterative, iterative development, j2ee, java, management, metrics, oop, oracle, pl, sql, software, sql, systems, telecom, test"
solutions architect,"analysis, architecture, css, data architecture, data warehouse, development, html, http, management, metrics, qa, security, supervision"
systems engineer,"api, ccie, ccna, ccnp, circuit, circuit design, cisco, customer service, foundation, html, java, management, network, protocols, routers, switches, system, systems, telecommunications, wan, windows, xml"
decision support analyst,"spanish, portuguese, windows, azure, cloud, operating system, operating systems, os"
information assurance engineer,"access, applications, architecture, business requirements, configuration management, database, engineers, it, linux, management, oracle, sdlc, security, sql, sql server, systems, telecom, web, windows"
big data engineer,"test automation, fitnesse, selenium, agile, scrum, functional, integration, performance"
java developer,"agile, development, http, inquire, java, scrum, sdlc"
platform architect,"automated, protocols, robotic, supervision, technician"
information assurance engineer,"restful services, j2ee, nosql"
business intelligence analyst,"development, http, lifecycle, management, pmp, project management, qa, quality assurance, scripts, sdlc"
data scientist,"agile, api, architecture, business requirements, data warehouse, development, genetic, hadoop, java, management, nosql"
software engineer,"analysis, development, git, hadoop, http, linux, nosql, unix, version control"
microstrategy architect,need consultants
business systems analyst,"analysis, excel, metrics, pl, sql, sql"
director it,"analysis, circuit, management, robotic"
solutions architect,"agile, architecture, automated, business intelligence, development, genetic, hadoop, management, nosql, sql, system architecture, uml"
web developer,"ajax, business requirements, development, dhtml, html, java, javascript, management, release"
vp software support,"architecture, b2b, bmc, inquire, linux, middleware, solaris, unix"
enterprise engineer,"unix, vmware, enterprise"
automation application engineer,".net, agile, c++, git, java, jenkins, qa, release"
threat analyst,"aml, analysis, audio visual, citrix, customer service, diagnostic, encryption, excel, hardware, management, metrics, ms office, networks, outlook, project management, protocol, tcp, ip, vmware, windows"
java developer,"it, information technology, java, ooad, java ee, web service technologies, soap, rest"
security engineer,"security, checkpoint"
security architect,".net, analysis, architecture, database, development, management, project management, security"
security researcher,"architecture, citrix, firewall, vmware"
storage consultant,"architecture, development, sap"
business intelligence analyst,"agile, aml, analysis, analytical"
technical jobs,"salesforce sales cloud , service cloud, apex, sql, javascript, service cloud, apex, sql, javascript, html"
network security engineer,"html, css, product demonstrations , technical pre, sales, html, css, product demonstrations , technical pre, sales, develop customer relationships"
web developer,"javascript, css, html, jquery, sql server, java, css, html, jquery, sql server, java, web applications"
sql developer,"html5, css3, angularjs, cordova, css3, angularjs, cordova, phone gap"
business intelligence analyst,"sas, ma, toad, sas, ms, access."
business intelligence analyst,sql
data scientist,"crm, development, excel, html, http, lifecycle, recruiter, sap, supply chain"
information assurance engineer,"solidworks, product development, gd&t, asme, shock , vibration, drawing st, ards, solidworks, product development, gd&t, asme, shock , vibration, drawing st, ards, small precision components"
information security manager,"it security, cissp, cism, cisa, ceh, cryptography, it control, security policies, processes, cissp, cism, cisa, ceh, cryptography, it control, security policies, processes, risk management"
data scientist,"cisco, forth, genetic, help desk, lan, management, routers, switches, wan"
data manager,"disaster recovery, project management, architecture, infrastructure"
network engineer,"network traffic optimization, cisco , juniper routers , switches management, ip network design , routing architectures, linux, network traffic optimization, cisco , juniper routers , switches management, ip network design , routing architectures, linux, unix related tools"
storage consultant,"agile, architecture, change management, development, management, re"
software engineer,"python, spark, apache spark, cass, ra, scala, hadoop , python, spark, apache spark, cass, ra, scala, hadoop"
network security engineer,"elixir, python, python, ruby on rails"
java developer,"core java, jbpm, multithread"
information assurance engineer,"quality assurance, sqa, sqe, manual, agile, web, smoke, white box, black box, regression, sql, software, jira, computer science, mis"
business intelligence manager,"crm, development, excel, html, http, lifecycle, management, project management, sap, supply chain"
business systems analyst,supply chain
java developer,"java , roid"
security engineer,"architecture, cissp, cisco, development, exchange, hardware, hp, ux, lan, linux, management, ms office, protocol, protocols, risk management, routers, security, solaris, unix, ux, wan, windows"
information assurance engineer,"biomaterials, regulatory compliance, analytics, bla regulatory knowledge, inds regulatory knowledge, data analysis, pre, clinical , regulatory compliance, analytics, bla regulatory knowledge, inds regulatory knowledge, data analysis, pre, clinical , product development"
business intelligence developer,"c#, javascript, php, mysql, ui , c#, javascript, php, mysql, ui"
technology development intern,"change management, development, forth, genetic, help desk, intern, management, outlook, ups"
software engineer,"linux, linux kernel, c++, python , linux, linux kernel, c++, python"
business intelligence developer,processes.
embedded software engineer,"plan , write internal"
rails jobs,"ruby, rails, ruby on rails, principal software engineer, software architect, ruby 2.1, rails 4, postgres, backbone"
big data engineer,"big data , python , apache spark , scala , hadoop , hive"
software engineer,"java, spring framework, mssql, mysql, javascript, linux, git , github, php, junit , java, spring framework, mssql, mysql, javascript, linux, git , github, php, junit"
net developer,"asp.net, mvc, javascript, jquery"
hadoop developer,"mobile, ios, roid, html5, hybrid, restful, phonegap, git"
net developer,"angularjs, entity framework, db design, integration solutions"
devops engineer,"linux, amazon web services, configuration management, scripting , linux, amazon web services, configuration management"
clinical application manager,"hpc application , tools, xcat, lsf, mpi, openmp, ganglia, nagios, openfabrics, infinib"
systems engineer,"control systems, automation systems, deltav, emerson products, cgmp , control systems, automation systems, deltav, emerson products, cgmp"
business intelligence analyst,"netsuite, erp, crm, javascript, erp, crm, javascript, netsuite support"
business intelligence developer,"4.x, sql, sql"
java developer,"core java, struts, hibernate, oracle etc."
storage consultant,"development, excel, html, http, research"
ruby on rails developer,"ruby on rails, javascript, sql, nosql, big data, javascript, sql, nosql, big data, full stack development"
technical jobs,"oim, oam"
information assurance engineer,"linux, azure, chef, puppet, ansible, salt, terraform boto, aws, azure, chef, puppet, ansible, salt, terraform boto, aws, service deployment"
software development coordinator,"java, j2ee, saas, big data, javascript , java, j2ee, saas, big data, javascript"
threat analyst,"fraud, investigation, mitigate, mitigate loss"
mainframe developer,"host, iterative, agile , best practices"
web developer,"php, html, css, javascript, jquery, magento, ecommerce web development, html, css, javascript, jquery, magento, ecommerce web development"
systems administrator,"noc, data center experience, windows server 2008, windows server 2012, linux, active directory, citrix, vmware not essential, data center experience, windows server 2008, windows server 2012, linux, active directory, citrix, vmware not essential, networking not essential"
backend developer,"python, kafka, spark, storm, aws , python, kafka, spark, storm, aws"
solutions architect,"aix, analysis, application servers, architecture, b2b, crm, data architecture, database, data warehouse, db2, development, erp, informatica, j2ee, java, linux, management, oracle, peoplesoft, project management, sap, sales, security, shell script, siebel, solaris, unix, websphere, windows, xml"
information assurance engineer,"electronic packagig experience, mechanical design, knowledge of solidworks, surface finishes , vita st, ards, mil, std, 810"
devops engineer,"aws, linux, configuration management puppet , chef , ansible , aws, linux, configuration management puppet , chef , ansible"
firmware engineer,"embedded linux c, roid, javascript, node.js, angular.js, web based gui, tools, both frontend , backend., roid, ios, linux c, c++, c++ database drivers, networks, sockets, ip stacks, ubuntu, sles build environment, svn , roid, javascript, node.js, angular.js, web based gui, tools, both frontend , backend., roid, ios, linux c, c++, c++ database drivers, networks, sockets, ip stacks, ubuntu, sles build environment, svn , jenkins"
javascript developer,"react.js, computer science degree, javascript, jquery, html , css, bootsrap, gulp, node.js, websockets, cryptography , react.js, computer science degree, javascript, jquery, html , css, bootsrap, gulp, node.js, websockets, cryptography"
software engineer,"medical devices, consumer electronics, threaded, processin"
devops engineer,"aws, devops"
business intelligence analyst,"aws, azure, sharepoint, ms exchange, lync. .net, ad, mobile, validation, global"
information systems technician,"management, security, vmware, vpn, windows"
javascript developer,"javascript, ux design, linux, git, react , javascript, ux design, linux, git, react"
software product manager,"b2b, saas startup industry, saas web, based software , mobile applications, prototyping tools , or amazing whiteboard"
information assurance engineer,"cad software, solidworks, solidworks, epdm"
crm consultant,"development, excel, http, lifecycle, management, oracle, powerpoint, sap, sap hr"
ux designer,"user experience, wireframes, information architecture, mobile ux, wireframes, information architecture, mobile ux, in, agency experience"
java developer,"core java , restful web services"
business intelligence developer,cognos
business analyst,"qa, powerpoint, visio, excel"
information management specialist,"sap, cash management, ap, ebs"
software engineer,"php, java, aws, relational databases, emr , map reduce, java, aws, relational databases, emr , map reduce"
it project manager,"agile, pmp knowledge, health care experience"
it compliance analyst,"ccar, sql"
technical support specialist,"technical support, windows, software support, windows, software support"
net developer,".net c#, typscript, angular2"
sql developer,"architecture, development, foundation, informatica, java, knowledge management, management, sales, security, soap, sql, xml"
security incident response engineer,"geotechnical , soil, dam design"
sql developer,"architecture, b2b, business intelligence, data architecture, development, edi, exchange, genetic, informatica, management, oracle, security, validation"
master data analyst,"aix, application servers, automated, bash, configuration management, development, forth, foundation, genetic, git, help desk, hudson, j2ee, jenkins, linux, management, perl, release, scripts, source code, sox, sql, subversion, unix, version control, websphere, windows"
it project manager,"hvac system design, electrical design, plumbing design, fire protection design, electrical design, plumbing design, fire protection design, project management"
