job_title,required_skills
big data software engineer,"php, java, aws, relational databases, emr , map reduce, multi, node parrell processing , php, java, aws, relational databases, emr , map reduce, multi"
project manager,"agile, pmp knowledge, health care experience"
sap successfactors,"development, excel, html, http, powerpoint, recruiter, sap, sales"
compliance systems analyst,"ccar, sql"
account executive,"sales, it, cybersecurity"
technical support specialist,"technical support, windows, ms office , ms word , ms excel, software support, technical support, windows, ms office , ms word , ms excel, software support"
net c# developer,".net c#, typscript, angular2"
web services developer,"architecture, developer, development, foundation, informatica, java, knowledge management, management, sales, security, soap, sql, xml"
geotechnical engineer,"geotechnical , soil, dam design"
informatica developer,"architecture, b2b, business intelligence, data architecture, development, edi, exchange, genetic, informatica, management, oracle, security, validation"
configuration management analyst,"aix, application servers, automated, bash, configuration management, development, forth, foundation, genetic, git, help desk, hudson, j2ee, jenkins, linux, management, perl, release, scripts, source code, sox, sql, subversion, unix, version control, websphere, windows"
project manager,"hvac system design, electrical design, plumbing design, fire protection design, project management , hvac system design, electrical design, plumbing design, fire protection design, project management"
lead android developer,"java, android sdk, android, javascript , java, android sdk, android, javascript"
vista test engineer,"experience in coordination , cprs within vista, proactive, independent"
adobe ame architect,"adobe ame, cq"
technology development program associate,".net, agile, analysis, asp, asp.net, development, genetic, hadoop, java, management, risk management, security, vb"
exchange support engineer,"exchange, office 365"
software engineer,"php, mysql, oop , php, mysql, oop"
technical change management  consultant,"analysis, change management, development, excel, html, http, jd edwards, lifecycle, management, materials, ms office, oracle, peoplesoft, powerpoint, recruiter, sap, salesforce, siebel"
front end engineer,"javascript, react, html5, css3 , javascript, react, html5, css3"
technical project manager,"agile, scrum, sql, financial services industry , agile, scrum, sql, financial services industry"
full stack java developer,"java, javascript, aws, amazon web services, angular.js, scala"
mba intern,"development, forth, genetic, help desk, intern, management, powerpoint"
database engineer,"sql, t, sql, pl, sql, postgresql, etl, mongodb, redis, scrum, cloud, aws , sql, t, sql, pl, sql, postgresql, etl, mongodb, redis, scrum, cloud, aws"
automation systems engineer,"deltav, automation systems, control systems, emerson products , deltav, automation systems, control systems, emerson products"
portal support analyst,"support, portal"
network analyst,"network administration, windows, sql , network administration, windows, sql"
information security specialist,"financial services, risk assessment, it audits, disaster recovery, business continuity"
system engineer,"vmware, emc, microsoft active directory, dhcp, dns, adfs, azure cloud services"
avm service delivery director,"agile, development, foundation, knowledge management, management"
qlikview architect ,"qlikview, business intelligence, data analysis, insurance domain, qlikview, business intelligence, data analysis, insurance domain"
associate product manager,"product management, business analysis, business strategy, sdlc, agile"
multimedia training developer,"adobe captivate, elearning, healthcare"
successfactors functional consultant,"development, excel, http, lifecycle, management, oracle, powerpoint, sap, sap hr"
sofware engineer,"healthcare informatics, ontologies, pre, post sales support, healthcare informatics, ontologies, pre, post sales support"
telecom business analyst,"voip, wireless"
java developer,"java jenkins, bamboo junit"
sap retail,"crm, development, excel, html, http, lifecycle, research, sap, supply chain"
net developer,".net, c#. asp.net, linq, html, css, javascript, ajax , jquery, sql"
workday functional consultant,"consulting, development, excel, http, lifecycle, management, oracle, powerpoint, sap"
systems engineer,"powershell, virtualization, microsoft exchange, azure, cloud, office 0365, systems engineering , powershell, virtualization, microsoft exchange, azure, cloud, office 0365"
software engineer,"analysis, architecture, business intelligence, data analysis, database, development, genetic, management, oracle, sas, sql, sql server, teradata, unix"
adobe analytics ,"adobe analytics, ensighten"
ios software engineer,"ios, objective, c, rest apis"
java developer boston,"java, j2ee, jee, jsp, servlets, spring mvc, html, css, angular js, jquery, json , hibernate, camel , jsf, struts 2 , sql, pl, sql, currency hedging"
ibm rational tool,"jazz, clearquest, clearcase"
aws cloud engineer,"aws cloud architecture, design"
platform engineer,"java, configuration management, aws , java, configuration management, aws"
data engineer,"php, java, aws, relational databases, emr , map reduce, multi, node parrell processing , php, java, aws, relational databases, emr , map reduce, multi"
django engineer,"django, javascript frameworks, python , django, javascript frameworks, python"
sap technical architect,"crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
system engineer,cisco
project manager,"mysql, chef, puppet"
digital project specialist,"pm, crm"
workforce management,"analysis, excel, html, http, kronos, lifecycle, management, recruiter, specification"
principal video processing architect,"architect , h.264, h.265 transport rtp, rtsp, software performance analyses, gpio, product evangelist , architect , h.264, h.265 transport rtp, rtsp, software performance analyses, gpio, product evangelist"
etl developer,"business intelligence, dba, database administration, ms stack, ssis, ssrs, ssas"
software engineer,"c#, sql, javascript, agile, c#, sql, javascript, agile"
front end architect,"javascript, ember.js, angular.js , javascript, ember.js, angular.js"
informatica developer,"informatica, power centre"
business systems analyst consultant,"analysis, business analyst, business objects, crystal reports, metrics, testing"
java engineer,"saas, java, scrum, sql, no sql, j2ee"
sap pp,"crm, development, excel, html, http, lifecycle, management, project management, recruiter, sap, supply chain"
lead front end engineer,"javascript frameworks, mobile, web, rest apis , javascript frameworks, mobile, web, rest apis"
back end software developer,"java, sql, linux, sql server, scala, repl, ammonite, nosql, gremlin, sparql , java, sql, linux, sql server, scala, repl, ammonite, nosql, gremlin, sparql"
mac support engineer,"macintoshmac, os x"
program manager m&a,10 years experience
remote  software architect,"ibm i, c++, api , ibm i, c++, api"
ruby on rails developer,"jquery, ruby on rails, elixir , jquery, ruby on rails, elixir"
application support specialist,"sabre, customer support"
net software engineer,"c#, asp.net mvc, javascript, ms, sql, episerver or mediachase, e, commerce development, web services, cms , c#, asp.net mvc, javascript, ms, sql, episerver or mediachase, e, commerce development, web services, cms"
oracle erp cloud technical,"abap, analysis, blueprint, case, change management, development, erp, http, knowledge management, management, oracle, pl1, research, risk management, sales"
communications coordinator,"forth, management, project management"
elixir developer,"elixir, ruby on rails, javascript , elixir, ruby on rails, javascript"
